"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/08/24","VIUME 椅子脚カバー 椅子あしキャップ シリコン クリアー 騒音 きず防止 滑り止め レフィル付きフェルトシート 丸脚 角脚兼用 16個セット 円形 (透明) 販売: FJMY-JP","-1380","Amazon.co.jp","日用品","日用品","","0","AORXncA54-Bdgds0WKymZQ"
"1","2023/08/24","物販","-336","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","5CiB3kqVL_6apbPYYWPgmA"
"1","2023/08/24","CHATGPT SUBSCRIPTION 4158799686","-2982","JCBカード","住宅","サブスク","","0","0uVgHCju0_TlnQQSlOzeXg"
"1","2023/08/24","日本郵便","-350","JCBカード","日用品","日用品","","0","1ZezENj5Lpn-NXbE6MdW0A"
"1","2023/08/24","ウジエスーパー小田原店","-1199","JCBカード","食費","その他食費","","0","Fv-MkrWIQp8xaT_UOi1ggQ"
"0","2023/08/24","Amazon Market Place","-1380","JCBカード","日用品","日用品","","1","KQpIrapSnk4i74zpHFL51Q"
"1","2023/08/24","セブン-イレブン鉄道博物館前店","-386","JCBカード","食費","その他食費","","0","Y-nhmOTgI5JakrefjigBsQ"
"1","2023/08/23","物販","-336","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","UG7Ffn0Yn22myyV9FPz0PA"
"1","2023/08/23","セブン-イレブン仙台原町店","-3","JCBカード","食費","その他食費","","0","2cBXfe04oRt3H9zPNA5C9A"
"1","2023/08/23","セブン-イレブン仙台原町店","-468","JCBカード","食費","その他食費","","0","J7BZh1QkDxOgHLgJHaFfvw"
"1","2023/08/23","セブン-イレブン鉄道博物館前店","-289","JCBカード","食費","その他食費","","0","SnCsRICgInA0vLq9PpF1Hw"
"0","2023/08/22","カード モバイル","10000","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","1","uIkUq-8YGqQqu65vWkIa5Q"
"1","2023/08/22","入 ゆ 新橋 出 テレコム","-388","【け】モバイルSuica (My JR-EAST ID)","交通費","電車","","0","_XAZOTZHfbddbRJBIWlI_Q"
"1","2023/08/22","入 テレコム 出 ゆ 新橋","-388","【け】モバイルSuica (My JR-EAST ID)","交通費","電車","","0","9w_d4RHqm498glF5uGn2tQ"
"1","2023/08/22","物販","-150","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","foqyVMKaq14ytBvmrY8trQ"
"1","2023/08/22","ウジエスーパー小田原店","-2721","JCBカード","食費","その他食費","","0","XwRXRBatM6tkAGR2UXXNfg"
"1","2023/08/22","Suica〔携帯決済〕","-10000","JCBカード","日用品","日用品","","0","KredU1zYy24JECZA-6Q_pg"
"1","2023/08/22","セブン-イレブンさいたま大栄橋西店","-441","JCBカード","食費","その他食費","","0","0c9XUM6XXRuHWLjolSgb4w"
"1","2023/08/21","物販","-336","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","rWL68RunKHN7zuuE7XXY0g"
"1","2023/08/21","普通預金利息","2","※解約済【ま】三井住友銀行","収入","その他入金","","0","VBvY0tLBtI2DoOKJbJS_FA"
"1","2023/08/21","普通預金利息","1","※解約済【け】三井住友銀行","収入","その他入金","","0","0Ou9Ech4QW6tvic5437-xA"
"1","2023/08/21","ユニクロ","-2770","JCBカード","衣服・美容","その他衣服・美容","","0","n5blxHuGuj9dWOp2UEGG8w"
"1","2023/08/21","ララガーデン長町","-1000","JCBカード","日用品","日用品","","0","1ldsKt8YFbLNKEp6UCBUGA"
"1","2023/08/21","紀伊國屋書店 仙台店","-1100","JCBカード","日用品","日用品","","0","UJHJMhwWMk2VCmiedUC_jw"
"1","2023/08/21","セブン-イレブン鉄道博物館前店","-421","JCBカード","食費","その他食費","","0","l_qB3GIQWFQrshF2-Bg2-w"
"1","2023/08/21","利息","5","【け】みずほ銀行","収入","その他入金","","0","d3BQHNAAtcL-9u_G2iMzKQ"
"1","2023/08/20","てれびくん 2023年 09 月号 [雑誌] 販売: アマゾンジャパン合同会社","-1780","Amazon.co.jp","教養・教育","書籍","","0","4EWuN7dJAKh3iFGa3pgYjw"
"1","2023/08/20","HARIO(ハリオ) V60ペーパーフィルター02 W ホワイト 1~4杯用 100枚入り 日本製 VCF-02-100W 販売: アマゾンジャパン合同会社","-327","Amazon.co.jp","日用品","日用品","","0","oaW2I8QBx6NrA30m2dVrpg"
"1","2023/08/20","物販","-98","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","PqUhghnD-Q5oJRJixSupIw"
"1","2023/08/20","物販","-150","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","YbdnhNjYgbuKQaxf9oZV6Q"
"1","2023/08/20","利息","3","【け】住信SBIネット銀行","収入","その他入金","","0","72yz8Lnj-oPNeUY3VENBNw"
"1","2023/08/20","利息","1","【け】住信SBIネット銀行","収入","その他入金","","0","tEwTKn4MBcu3cI-U_YYaNg"
"1","2023/08/20","利息","1","【ま】住信SBIネット銀行","収入","その他入金","","0","LjcVEcrF-xYkjATu_TM_Ig"
"1","2023/08/20","JINSオンラインショップ","-24120","JCBカード","健康・医療","その他健康・医療","","0","I-8gqcniCM4wtTAOGSXkCw"
"1","2023/08/20","浜松文明堂","-3450","JCBカード","交際費","その他交際費","","0","dOQDZEaFWyhufgxFlPKjCA"
"0","2023/08/20","AMAZON.CO.JP","-327","JCBカード","日用品","日用品","","1","QW3RQOPNIOQaZLCv7UZ-Wg"
"0","2023/08/20","AMAZON.CO.JP","-1780","JCBカード","日用品","日用品","","1","7OytXnsZaufefFMfBzPxtw"
"1","2023/08/20","ウジエスーパー小田原店","-832","JCBカード","食費","その他食費","","0","UtoTRHCPVTXeyNwkSDdQGw"
"1","2023/08/20","楽天ブックス ポイント利用","3960","楽天市場(my Rakuten)","収入","一時所得","","0","zP_Ns1f6Pgr1bEZYjEaiww"
"1","2023/08/20","楽天ブックス 一級建築士合格戦略　製図試験のウラ指導　2023年版","-3960","楽天市場(my Rakuten)","日用品","日用品","","0","b2-p0KVD6AELzYWHw5atpw"
"1","2023/08/19","パンセ 福室本店","-3529","JCBカード","食費","外食","","0","K02_OGyL9CTd70BaX-kVMw"
"1","2023/08/19","仙台うみの杜水族館ショップ","-2728","JCBカード","交際費","その他交際費","","0","wm3X-Avt6uOzQnRXlwrlsw"
"1","2023/08/18","竹家 ネックシャッター ダークグレー 販売: Dolce Beauty Planning","-1220","Amazon.co.jp","衣服・美容","その他衣服・美容","","0","vHVzYTQcs5Qvpy_SirdUNw"
"1","2023/08/18","[XENCELABS] 二本指グローブ Sサイズ 7.5cm*19.7cm 2本指グローブ タブレット用 お絵描き手袋 肌の擦れを軽減 防汗 防汚設計 両利き通用 黒 販売: Xencelabs Professional JP","-880","Amazon.co.jp","日用品","日用品","","0","ccx5oLcJ1bLWn7BYACGTlQ"
"1","2023/08/18","物販","-489","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","RfYLx8gK72j1hv5JGc09Nw"
"1","2023/08/18","物販","-210","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","3YwIsnJfwoLekUHvv8CX2A"
"1","2023/08/18","ATM セブン銀行","-20000","【け】住信SBIネット銀行","日用品","日用品","","0","_R4geqhdcgIaUdITaA_PWg"
"1","2023/08/18","APPLE.COM/BILL","-400","JCBカード","住宅","通信費","","0","x3AnvmNtLdc9KY9_l3tuVA"
"1","2023/08/18","スターバックス コーヒー ジャパン","-2000","JCBカード","食費","外食","","0","AcOSJ28QXZ4xCyYG3HCsNw"
"1","2023/08/18","ウジエスーパー小田原店","-384","JCBカード","食費","その他食費","","0","Tx3y1zWix_6TGfYG_-MqFg"
"0","2023/08/18","Amazon Market Place","-880","JCBカード","日用品","日用品","","1","czxtZvNqoMX3_n4xlGaZRw"
"0","2023/08/18","Amazon Market Place","-1220","JCBカード","日用品","日用品","","1","kgiIpjfPU90imOWZmR-44A"
"1","2023/08/18","JR東日本 えきねっと","-5350","JCBカード","交通費","会社立替え払い","","0","3ZABK_KzIWSmHKTbLoKsbQ"
"1","2023/08/18","JR東日本 えきねっと","-5350","JCBカード","交通費","会社立替え払い","","0","rztZ67WRi-5hZb-6zM3tUg"
"1","2023/08/18","","-890","なし","食費","その他食費","","0","a_NoqoLkDofSa8QYSM7I-g"
"1","2023/08/17","物販","-330","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","7gU8v0XvP2M-hb0ureOGmg"
"1","2023/08/17","ウジエスーパー小田原店","-1644","JCBカード","食費","その他食費","","0","OA2T6R-sSu7ViZsj14mYxg"
"1","2023/08/17","ロヂャース 大成店","-1387","JCBカード","食費","その他食費","","0","-3CkxtJP46ipgKabw--Zcw"
"1","2023/08/17","セブン-イレブン 支払","-429","【け】nanaco","食費","その他食費","","0","sHbHkFsnLy2B85e_3J2OOw"
"1","2023/08/16","バス等 仙市バス","-190","【け】モバイルSuica (My JR-EAST ID)","交通費","バス","","0","myjYHIx6qYgtOz2TpYCExg"
"1","2023/08/16","物販","-554","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","PXmr_AL3JZl9izbjGOpzpQ"
"1","2023/08/16","物販","-1296","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","TLtRT4iKXzlFscZERVZQLg"
"1","2023/08/16","ウジエスーパー小田原店","-2592","JCBカード","食費","その他食費","","0","yQaGpmrzwVB9bgZagkA9Hw"
"0","2023/08/16","nanaco ApplePay チャージ","-1000","JCBカード","通信費","その他通信費","","1","zYDFkAlKWFy0VuDH-UI8iw"
"0","2023/08/16","nanacoモバイル チャージ","1000","【け】nanaco","未分類","未分類","","1","SLi6WngtItttiWKDyEHLtg"
"1","2023/08/16","セブン-イレブン 支払","-320","【け】nanaco","食費","その他食費","","0","uFIOBp44OVMtWVgLajAlpQ"
"1","2023/08/16","","-2430","なし","食費","その他食費","","0","8TFL5Ofuzi0_DepWSvvP2A"
"1","2023/08/15","いたがき本店","-2764","JCBカード","交際費","その他交際費","","0","KbRPn209IAVnmbbf7FBzZw"
"1","2023/08/15","ヨークベニマルフォレオ東仙台店","-813","JCBカード","食費","その他食費","","0","7A1b9GDcuE_mF5rFOR72mQ"
"1","2023/08/15","すき家 モバイルオーダー","-200","JCBカード","食費","外食","","0","lDFo8a5-IkYP-4natNtmNQ"
"1","2023/08/15","すき家","-2430","JCBカード","食費","外食","","0","W7n2nmzwPGgzkhuqvjc5Aw"
"1","2023/08/14","バス等 仙市バス","-190","【け】モバイルSuica (My JR-EAST ID)","交通費","バス","","0","dn0zNiQ1HoNd6NxS_0kzcw"
"1","2023/08/14","Suica〔携帯決済〕","-3000","JCBカード","日用品","日用品","","0","p6gLT0xQ6tgdkdIQJ-G1rQ"
"1","2023/08/14","オフィスベンダー文具の杜","-2521","JCBカード","日用品","日用品","","0","juimUf_kAeCgtYKeeJ2uVw"
"1","2023/08/14","LOHACO","-3781","JCBカード","日用品","日用品","","0","2RbdDTUV5KfPi8kVXQ_lcg"
"1","2023/08/14","ローソン センダイオダワラ1チヨウメ","-419","JCBカード","食費","その他食費","","0","WcGp8jYXpsCz7-rWdyqi5w"
"0","2023/08/14","振込*テイガクジドウニユウキン","20000","【け】住信SBIネット銀行","未分類","未分類","","1","1KljKN4ll7yHJct48wBzog"
"1","2023/08/14","丸善 仙台アエル店","-2099","JCBカード","日用品","日用品","","0","Q59L9Arq7-DJJUz19CW4FA"
"1","2023/08/14","ウジエスーパー小田原店","-1771","JCBカード","食費","その他食費","","0","fqwcUzTYljkSmzj4prwuBQ"
"1","2023/08/14","","-7600","なし","交際費","その他交際費","","0","qYqwXu9sCQQevuOm6mC2kA"
"1","2023/08/13","割引","556","Amazon.co.jp","収入","一時所得","","0","BSnV7kDZgI7qvTeBbXLsug"
"1","2023/08/13","【パンツ Lサイズ】 アンパンマン おむつ ネピア やさしいGENKI! パンツ (9~14kg)144枚(48枚×3) [ケース品] 販売: アマゾンジャパン合同会社","-3708","Amazon.co.jp","日用品","日用品","","0","v-LH615QWFBkU-2UNWGxtA"
"0","2023/08/13","SBI証券投信積立サービス","-33333","【け】三井住友カードNL","未分類","未分類","","1","hVwNrOrJAJ0XgRdVZCiMKw"
"1","2023/08/13","ウジエスーパー小田原店","-1701","JCBカード","食費","その他食費","","0","GoIRvHZLxbF9tbA9EF3jFQ"
"0","2023/08/13","AMAZON.CO.JP","-3152","JCBカード","日用品","日用品","","1","FT3YYS-8w2F-RqGLqlxRcQ"
"1","2023/08/12","出光興産SS","-2696","JCBカード","自動車","ガソリン","","0","Ake-qhd9C53ZSEDlgY8A0w"
"1","2023/08/12","ウジエスーパー小田原店","-506","JCBカード","食費","その他食費","","0","D6r1LqBlDgORUb_cjAdPnw"
"1","2023/08/12","パンセ 遠見塚本店","-2460","JCBカード","食費","外食","","0","l-lbv3gg1fAB-Sa8_wa6mg"
"1","2023/08/12","honto","-5090","JCBカード","日用品","日用品","","0","VADH2iojnArLnikB-gwgFw"
"1","2023/08/12","スターバックス コーヒー ジャパン","-2000","JCBカード","食費","外食","","0","WoAn209gzkYCpjjLoGYZPQ"
"1","2023/08/12","ν. 支払","-2430","WAON","日用品","日用品","","0","YBscFZEj2ktuP0pvAFsUpg"
"1","2023/08/12","オリソク","4","※解約済【け】77","収入","その他入金","","0","JC54j7z80T-9iVM92loVDw"
"1","2023/08/11","ウジエスーパー小田原店","-1800","JCBカード","食費","その他食費","","0","7tukEcWpMXWY7oTjeXm9LA"
"1","2023/08/10","物販","-573","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","nJFwtj_uIbXpQjhI4pJYdg"
"1","2023/08/10","物販","-2678","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","8UfIRlP_Tywa96gJjRe4zw"
"1","2023/08/10","povoご利用料金","-660","JCBカード","住宅","通信費","","0","9UfPBWj3ynqu8Us9XZ4ynA"
"1","2023/08/10","セブン-イレブン鉄道博物館前店","-260","JCBカード","食費","その他食費","","0","527de2KFqol1DbXs0PbB5A"
"1","2023/08/10","povoご利用料金","-22","JCBカード","住宅","通信費","","0","h8noxxioR3jKWLWt_CzB-g"
"1","2023/08/10","JR東日本 えきねっと","10300","JCBカード","収入","不明な入金","","0","gSW70Yt_BEOAgU9Xo4PZ3Q"
"1","2023/08/10","JR東日本 えきねっと","10300","JCBカード","収入","不明な入金","","0","Zhw27H05TorH6wias04Z-g"
"1","2023/08/10","JR東日本 えきねっと","5150","JCBカード","収入","不明な入金","","0","rWEWCokJOghOgNpQePbxaQ"
"1","2023/08/10","JR東日本 えきねっと","-5150","JCBカード","交通費","会社立替え払い","","0","6RzrWHZt1NK4JY1QszS-5Q"
"1","2023/08/10","JR東日本 えきねっと","-5150","JCBカード","交通費","会社立替え払い","","0","Ocj532jLBSonm63sSSCrEA"
"1","2023/08/10","JR東日本 えきねっと","-10300","JCBカード","交通費","会社立替え払い","","0","i40ndZLyekLd1w92iUCPxw"
